P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
2023C08572,López,Herrera,Erika,erika.lopez@universidad-sysac.edu.mx,erika_lopez@yahoo.com.mx,5655368517,2026-01-01,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,4,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,1,"$10,001-$15,000",Madre,Sí,29,Sí,Trabajo propio,No,NA,2431,No,Ninguno,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
2023B01698,Muñoz,Morales,Catalina,catalina_munoz@universidad-sysac.edu.mx,NA,5545260139,2026-01-21,Licenciatura en Diseño Gráfico,LIDN2022MX,5,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$10,001-$15,000",El propio estudiante,Sí,44,Sí,Ahorro,No,NA,2241,No,Sí a ambos,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2023B01147,Figueroa,Morales,Raúl,raulfigueroa@universidad-sysac.edu.mx,raul_figueroa13@hotmail.com,8129290897,2026-01-19,Licenciatura en Diseño Gráfico,LIDN2022MX,5,Sí,3,No,NA,Beca de colegiatura,7.1,NA,Con pareja,4,"$5,001-$10,000",Madre,Sí,38,No,"Trabajo propio, Apoyo familiar",No,NA,548,No,Solo internet,Preparatoria,Licenciatura,No,Sí,Sí,Sí,Sí
2020A01280,Rangel,Fuentes,Guadalupe,guadalupe.rangel@universidad-sysac.edu.mx,guadalupe_rangel78@icloud.com,5563559153,2026-02-01,Licenciatura en Enfermería,LIEN2022MX,4,Sí,6,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"Menos de $5,000",Tutor,No,NA,NA,Beca de otra institución,No,NA,150,No,Sí a ambos,Preparatoria,Sin estudios,Sí,Sí,Sí,Sí,Sí
2023A01855,Sánchez,Gómez,Catalina,catalina.sanchez@universidad-sysac.edu.mx,catalinasanchez488@yahoo.com,5511523545,2026-01-08,Licenciatura en Derecho,LIDE2020MX,4,Sí,4,Sí,Laboral,Beca de transporte,NA,50120,Con pareja,3,"$15,001-$25,000",Padre,Sí,13,No,"Trabajo propio, Crédito educativo",No,NA,3066,No,Solo internet,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2023B04255,Torres,Vargas,Sebastián,sebastian.torres@universidad-sysac.edu.mx,sebastian.torres@gmail.com,5577318735,2026-02-23,Ingeniería Industrial,LIIN2020MX,4,Sí,3,Sí,Personal/Familiar,Beca de colegiatura,7.7,NA,Con pareja,3,"$10,001-$15,000",Beca o apoyo gubernamental,No,NA,NA,"Crédito educativo, Ahorro, Apoyo gubernamental",No,NA,189,No,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,No
2022C05684,Rojas,Rivera,Roberto,roberto.rojas@universidad-sysac.edu.mx,NA,4415206068,2026-02-16,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,4,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",Madre,No,NA,NA,"Crédito educativo, Beca de otra institución",No,NA,922,No,Solo computadora,Preparatoria,Preparatoria,Sí,No,Sí,Sí,Sí
2022C04815,Trejo,Herrera,Uriel,urieltrejo@universidad-sysac.edu.mx,uriel_trejo775@icloud.com,5598742621,2026-02-23,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,2,Sí,Laboral,Beca de colegiatura,7.8,NA,Con pareja,3,"$5,001-$10,000",Tutor,Sí,35,No,"Apoyo gubernamental, Apoyo familiar",No,NA,893,Sí,Sí a ambos,Preparatoria,Licenciatura,No,No,Sí,Sí,Sí
2021A01527,Herrera,Reyes,Saúl Miguel,saul.herrera@universidad-sysac.edu.mx,saulherrera@icloud.com,NA,2026-02-11,Licenciatura en Contaduría Pública,LICO2020MX,4,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",El propio estudiante,Sí,46,No,"Trabajo propio, Crédito educativo, Apoyo familiar",No,NA,383,No,Ninguno,Primaria,Secundaria,Sí,No,Sí,Sí,No
2021C01506,Hernández,Figueroa,Felipe Carlos,felipe.hernandez@universidad-sysac.edu.mx,NA,5574913275,2026-05-17,Licenciatura en Educación,LIED2020MX,5,Sí,6,Sí,Otra,Beca de colegiatura,5.9,NA,Con padres o tutores,4,"$5,001-$10,000",Madre,Sí,21,Sí,Trabajo propio,No,NA,2085,No,Solo internet,Preparatoria,Licenciatura,No,Sí,Sí,Sí,No
2021B07913,Pérez,Ramos,Rodrigo,rodrigoperez@universidad-sysac.edu.mx,rodrigoperez89@hotmail.com,4474139597,2026-01-10,Licenciatura en Diseño Gráfico,LIDN2022MX,5,No,NA,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con pareja,5,"Menos de $5,000",Padre,No,NA,NA,"Apoyo familiar, Apoyo gubernamental, Trabajo propio",No,NA,929,No,Solo computadora,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2023C00931,Gutiérrez,Núñez,Mateo Ricardo,mateo_gutierrez@universidad-sysac.edu.mx,mateo.gutierrez942@yahoo.com.mx,5639739704,2026-05-07,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,6,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Ahorro, Crédito educativo",No,NA,2186,No,Sí a ambos,Preparatoria,Licenciatura,No,Sí,Sí,Sí,Sí
2023C02633,Castillo,Orozco,Hugo,hugocastillo@universidad-sysac.edu.mx,NA,3338769659,2026-06-28,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,4,Sí,Económica,Beca de colegiatura,7.1,NA,Con pareja,6,"Menos de $5,000",El propio estudiante,Sí,39,Sí,"Trabajo propio, Apoyo gubernamental",No,NA,1239,No,Ninguno,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2024A05698,Molina,Sánchez,David,david.molina@universidad-sysac.edu.mx,david.molina797@yahoo.com,2251863493,2026-06-14,Licenciatura en Educación,LIED2020MX,4,Sí,6,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,1,"Más de $25,000",Madre,Sí,20,Sí,"Crédito educativo, Beca de otra institución",No,NA,101,No,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,No
2024A09189,Gómez,González,Itzel,itzelgomez@universidad-sysac.edu.mx,itzel_gomez@outlook.com,5599758339,2026-06-24,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,3,No,NA,Beca de inscripción/reinscripción,NA,NA,En residencia estudiantil,5,"Menos de $5,000",Beca o apoyo gubernamental,Sí,23,No,"Apoyo familiar, Crédito educativo, Trabajo propio",No,NA,551,No,Sí a ambos,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2020B08594,Vargas,Domínguez,Patricia,patriciavargas@universidad-sysac.edu.mx,patricia.vargas175@gmail.com,8197459732,2026-02-17,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",Padre,No,NA,NA,"Ahorro, Beca de otra institución, Crédito educativo",No,NA,1499,No,Sí a ambos,Primaria,Preparatoria,Sí,No,Sí,Sí,Sí
2019A04108,Rodríguez,Morales,Leonardo,leonardo_rodriguez@universidad-sysac.edu.mx,leonardo_rodriguez@yahoo.com.mx,5517136979,2026-05-22,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,5,Sí,Académica,Beca de transporte,NA,07060,Solo/a,2,"$5,001-$10,000",Madre,Sí,10,No,"Beca de otra institución, Trabajo propio",Sí,Beca municipal $800,954,Sí,Sí a ambos,Licenciatura,Secundaria,No,Sí,Sí,Sí,Sí
2024C02613,Palacios,Bautista,Renata,renatapalacios@universidad-sysac.edu.mx,renata_palacios99@protonmail.com,5594674357,2026-01-11,Licenciatura en Mercadotecnia,LIME2020MX,4,No,NA,No,NA,Beca de transporte,NA,13060,Solo/a,4,"$10,001-$15,000",Beca o apoyo gubernamental,No,NA,NA,"Apoyo gubernamental, Ahorro, Trabajo propio",No,NA,1728,No,Sí a ambos,Preparatoria,Preparatoria,Sí,No,Sí,Sí,Sí
2021B07357,Téllez,Fuentes,Citlali,citlali.tellez@universidad-sysac.edu.mx,citlali_tellez98@protonmail.com,5510505274,2026-02-28,Licenciatura en Enfermería,LIEN2022MX,4,Sí,1,No,NA,Beca de transporte,NA,56338,Con padres o tutores,3,"Más de $25,000",Beca o apoyo gubernamental,No,NA,NA,Beca de otra institución,No,NA,2221,No,Solo internet,Preparatoria,Sin estudios,Sí,Sí,Sí,Sí,Sí
2024A02474,Téllez,Muñoz,Emilio,emiliotellez@universidad-sysac.edu.mx,emiliotellez83@protonmail.com,5662755183,2026-01-19,Licenciatura en Mercadotecnia,LIME2020MX,4,No,NA,No,NA,Beca de transporte,NA,09720,Con pareja,5,"$5,001-$10,000",Madre,Sí,28,No,Crédito educativo,No,NA,2028,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,No,Sí
2024B09522,Velázquez,Flores,Paola,paola_velazquez@universidad-sysac.edu.mx,NA,5561679374,2026-02-23,Licenciatura en Administración de Empresas,LIAD2020MX,4,Sí,1,Sí,Personal/Familiar,Beca de transporte,NA,50070,Con otros familiares,2,"$5,001-$10,000",El propio estudiante,Sí,30,Sí,"Trabajo propio, Beca de otra institución",No,NA,1960,No,Solo internet,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
2024A05782,Téllez,Vázquez,Dulce Diana,dulce.tellez@universidad-sysac.edu.mx,dulcetellez503@outlook.com,5549046835,2026-06-09,Licenciatura en Administración de Empresas,LIAD2020MX,4,Sí,6,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,11,No,"Trabajo propio, Apoyo familiar",No,NA,661,No,Sí a ambos,Licenciatura,Preparatoria,No,Sí,Sí,Sí,Sí
2025A07231,Rojas,Reyes,Raquel,raquel.rojas@universidad-sysac.edu.mx,raquelrojas578@yahoo.com.mx,5569008357,2026-01-13,Ingeniería en Sistemas Computacionales,LISC2020MX,2,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"Más de $25,000",Madre,No,NA,NA,Ahorro,No,NA,405,Sí,Solo internet,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2023A02386,Cervantes,Pérez,Mónica,monicacervantes@universidad-sysac.edu.mx,monicacervantes356@protonmail.com,8113476663,2026-02-27,Licenciatura en Diseño Gráfico,LIDN2022MX,5,Sí,6,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,5,"$5,001-$10,000",El propio estudiante,Sí,40,No,Apoyo familiar,No,NA,1045,No,Solo computadora,Primaria,Preparatoria,Sí,No,Sí,Sí,Sí
2021C05794,León,Muñoz,Claudia,claudia.leon@universidad-sysac.edu.mx,NA,8182650429,2026-02-26,Licenciatura en Mercadotecnia,LIME2020MX,5,Sí,2,No,NA,Beca de transporte,NA,06200,Con otros familiares,2,"$15,001-$25,000",Madre,Sí,5,No,"Trabajo propio, Beca de otra institución",No,NA,1313,No,Sí a ambos,Licenciatura,Preparatoria,No,No,Sí,Sí,No
2021B03680,Herrera,Álvarez,Alan Emilio,alan_herrera@universidad-sysac.edu.mx,alanherrera@icloud.com,5674917866,2026-01-07,Licenciatura en Derecho,LIDE2020MX,4,No,NA,No,NA,Beca de colegiatura,8.1,NA,Con padres o tutores,4,"Menos de $5,000",Tutor,Sí,5,No,"Trabajo propio, Ahorro, Apoyo familiar",No,NA,2396,Sí,Solo internet,Sin estudios,Preparatoria,Sí,No,Sí,Sí,Sí
2021A06421,Trejo,Soto,Beatriz Ximena,beatriztrejo@universidad-sysac.edu.mx,beatriztrejo@yahoo.com.mx,5647111512,2026-01-04,Licenciatura en Contaduría Pública,LICO2020MX,4,Sí,3,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,1,"$10,001-$15,000",El propio estudiante,Sí,31,No,"Trabajo propio, Apoyo gubernamental",No,NA,1546,No,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2023C08013,Vargas,García,Dulce Norma,dulcevargas@universidad-sysac.edu.mx,dulce_vargas90@yahoo.com.mx,3347403675,2026-01-01,Licenciatura en Educación,LIED2020MX,5,No,NA,Sí,Laboral,Beca de colegiatura,8.5,NA,Con padres o tutores,3,"$15,001-$25,000",Madre,No,NA,NA,Crédito educativo,No,NA,985,No,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
2022A02726,Moreno,Orozco,Tomás,tomas_moreno@universidad-sysac.edu.mx,tomas.moreno207@yahoo.com,3365391887,2026-05-05,Licenciatura en Diseño Gráfico,LIDN2022MX,5,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,2,"$10,001-$15,000",El propio estudiante,Sí,29,No,Apoyo gubernamental,No,NA,1100,No,Sí a ambos,Licenciatura,Secundaria,No,Sí,Sí,Sí,Sí
2023B05348,Cruz,Espinoza,Teresa,teresa.cruz@universidad-sysac.edu.mx,teresa.cruz84@protonmail.com,4424901327,2026-01-07,Licenciatura en Educación,LIED2020MX,5,Sí,6,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con pareja,2,"$10,001-$15,000",Otro familiar,No,NA,NA,"Beca de otra institución, Trabajo propio, Crédito educativo",No,NA,1999,Sí,Sí a ambos,Sin estudios,Preparatoria,Sí,Sí,Sí,Sí,No
2023A09253,Hernández,Estrada,Susana,susana_hernandez@universidad-sysac.edu.mx,susana_hernandez89@yahoo.com.mx,5522921755,2026-01-04,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Solo/a,4,"$5,001-$10,000",El propio estudiante,Sí,39,No,"Ahorro, Trabajo propio",No,NA,1246,No,Solo internet,Preparatoria,Preparatoria,Sí,No,Sí,Sí,Sí
2023C05594,Ortiz,Moreno,Jorge,jorge_ortiz@universidad-sysac.edu.mx,jorge.ortiz701@hotmail.com,4461252090,2026-02-10,Licenciatura en Derecho,LIDE2020MX,4,Sí,6,Sí,Económica,Beca de transporte,NA,56350,Con padres o tutores,6,"$5,001-$10,000",Beca o apoyo gubernamental,No,NA,NA,Trabajo propio,No,NA,2235,Sí,Solo computadora,Secundaria,Sin estudios,Sí,Sí,Sí,Sí,Sí
2023B09471,López,Palacios,Daniel,daniel.lopez@universidad-sysac.edu.mx,daniellopez@gmail.com,5631020034,2026-02-12,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,4,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,6,"$5,001-$10,000",Padre,Sí,23,Sí,Crédito educativo,No,NA,450,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2023C03742,Rojas,Camacho,Gerardo,gerardo_rojas@universidad-sysac.edu.mx,gerardo.rojas@outlook.com,8137379755,2026-01-13,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,3,Sí,Otra,Beca de colegiatura,7.7,NA,Con padres o tutores,3,"$5,001-$10,000",Padre,No,NA,NA,"Ahorro, Crédito educativo",No,NA,1371,Sí,Sí a ambos,Licenciatura,Primaria,No,No,Sí,Sí,Sí
2021B00992,Sandoval,Díaz,Erika,erika_sandoval@universidad-sysac.edu.mx,erika.sandoval810@outlook.com,5689911436,2026-01-21,Ingeniería Industrial,LIIN2020MX,4,Sí,3,Sí,Académica,Beca de colegiatura,7.7,NA,Con padres o tutores,2,"$5,001-$10,000",Madre,Sí,32,No,Ahorro,No,NA,1223,No,Solo internet,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
2024B03026,Velázquez,Rodríguez,Martín,martinvelazquez@universidad-sysac.edu.mx,martin_velazquez@protonmail.com,2236258971,2026-02-01,Licenciatura en Derecho,LIDE2020MX,4,Sí,3,No,NA,Beca de colegiatura,7.5,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,25,No,Apoyo gubernamental,No,NA,853,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2023A02975,Díaz,Morales,Martha,martha.diaz@universidad-sysac.edu.mx,martha_diaz@gmail.com,4432420073,2026-06-25,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",Beca o apoyo gubernamental,Sí,20,No,"Crédito educativo, Apoyo gubernamental, Trabajo propio",Sí,"Beca Benito Juárez $1,600",739,No,Sí a ambos,Posgrado,Secundaria,No,Sí,Sí,No,Sí
2024A02004,Suárez,Figueroa,Manuel,manuelsuarez@universidad-sysac.edu.mx,manuel_suarez651@outlook.com,5523347553,2026-01-10,Licenciatura en Educación,LIED2020MX,4,Sí,6,Sí,Personal/Familiar,Beca de colegiatura,5.2,NA,Con pareja,5,"$10,001-$15,000",Madre,Sí,19,No,"Trabajo propio, Ahorro, Beca de otra institución",No,NA,342,No,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
2024C09097,Orozco,Cruz,Catalina Alejandra,catalina_orozco@universidad-sysac.edu.mx,catalinaorozco97@outlook.com,8150367141,2026-01-05,Licenciatura en Gastronomía,LIGA2020MX,4,Sí,6,Sí,Académica,Beca de colegiatura,6.1,NA,Con padres o tutores,7,"Menos de $5,000",Otro familiar,No,NA,NA,Apoyo gubernamental,No,NA,2409,No,Sí a ambos,Licenciatura,Preparatoria,No,No,Sí,Sí,Sí
2024C07166,Zavala,Hernández,Sebastián,sebastian_zavala@universidad-sysac.edu.mx,sebastian_zavala@outlook.com,8138180332,2026-02-07,Ingeniería Industrial,LIIN2020MX,4,Sí,3,Sí,Económica,Beca de colegiatura,7.3,NA,Con padres o tutores,5,"$5,001-$10,000",Padre,No,NA,NA,"Apoyo familiar, Ahorro, Apoyo gubernamental",No,NA,2388,Sí,Solo computadora,Secundaria,Preparatoria,Sí,No,Sí,Sí,No
2023C02579,Reyes,Bautista,Isabel,isabel_reyes@universidad-sysac.edu.mx,isabel_reyes97@hotmail.com,5526184216,2026-01-15,Licenciatura en Educación,LIED2020MX,5,Sí,2,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,6,"$5,001-$10,000",Madre,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,795,Sí,Sí a ambos,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
2020B05082,Reyes,Mejía,Araceli,aracelireyes@universidad-sysac.edu.mx,araceli_reyes@icloud.com,5539753305,2026-02-17,Licenciatura en Derecho,LIDE2020MX,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Solo/a,4,"$5,001-$10,000",Otro familiar,No,NA,NA,Apoyo gubernamental,No,NA,2195,Sí,Sí a ambos,Secundaria,Posgrado,No,No,Sí,Sí,Sí
2020B02331,Vazquez,Rivera,Ángel,angel.vazquez@universidad-sysac.edu.mx,NA,5595565089,2026-01-03,Licenciatura en Derecho,LIDE2020MX,4,Sí,4,Sí,Personal/Familiar,Beca de transporte,NA,13060,Con padres o tutores,5,"Menos de $5,000",Padre,No,NA,NA,"Ahorro, Apoyo familiar",No,NA,1065,No,Sí a ambos,Preparatoria,Secundaria,Sí,No,Sí,Sí,Sí
2023C06715,Campos,Rojas,Nayeli Daniela,nayeli_campos@universidad-sysac.edu.mx,nayeli_campos789@yahoo.com.mx,8129799650,2026-02-06,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,25,Sí,"Trabajo propio, Apoyo familiar",No,NA,398,Sí,Solo computadora,Secundaria,Sin estudios,Sí,Sí,Sí,Sí,Sí
2023B01801,Álvarez,Rodríguez,Susana,susanaalvarez@universidad-sysac.edu.mx,susana.alvarez97@hotmail.com,8125368349,2026-06-14,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,2,Sí,Económica,Beca de colegiatura,7.6,NA,Solo/a,3,"$5,001-$10,000",Padre,Sí,25,No,"Trabajo propio, Crédito educativo",No,NA,9,Sí,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,Sí,Sí,No
2019C07633,camacho,reyes,irma alicia,irmacamacho@universidad-sysac.edu.mx,irma.camacho96@yahoo.com.mx,5511715666,2026-01-08,Licenciatura en Enfermería,LIEN2022MX,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,En residencia estudiantil,3,"$10,001-$15,000",Beca o apoyo gubernamental,No,NA,NA,"Ahorro, Apoyo gubernamental",No,NA,734,No,Solo internet,Secundaria,Preparatoria,Sí,Sí,No,Sí,No
2019C09594,Romero,Trejo,Silvia,silvia.romero@universidad-sysac.edu.mx,silvia_romero89@yahoo.com,5651283080,2026-02-02,Licenciatura en Diseño Gráfico,LIDN2022MX,5,Sí,2,Sí,Económica,Beca de colegiatura,7.8,NA,Con padres o tutores,4,"$10,001-$15,000",Padre,Sí,16,No,Trabajo propio,No,NA,1373,No,Sí a ambos,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
2024A09170,León,Vargas,Omar Jorge,omar.leon@universidad-sysac.edu.mx,omar_leon13@gmail.com,5540656598,2026-06-23,Licenciatura en Gastronomía,LIGA2020MX,4,Sí,6,Sí,Académica,Beca de colegiatura,7.0,NA,Con pareja,2,"$5,001-$10,000",El propio estudiante,Sí,35,No,"Trabajo propio, Apoyo gubernamental, Ahorro",No,NA,391,Sí,Solo internet,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
2024A01607,Mejía,Pérez,Nayeli,nayeli.mejia@universidad-sysac.edu.mx,nayeli.mejia@yahoo.com.mx,5580340698,2026-05-13,Licenciatura en Mercadotecnia,LIME2020MX,4,Sí,3,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,6,"Menos de $5,000",Padre,Sí,6,No,Trabajo propio,No,NA,2411,No,Ninguno,Preparatoria,Licenciatura,No,No,Sí,Sí,Sí
2022B03575,Sánchez,Valencia,Mateo Jorge,mateo.sanchez@universidad-sysac.edu.mx,NA,5563791467,2026-02-14,Licenciatura en Diseño Gráfico,LIDN2022MX,5,Sí,1,No,NA,Beca de colegiatura,7.3,NA,Con padres o tutores,1,"Más de $25,000",El propio estudiante,Sí,31,Sí,"Beca de otra institución, Trabajo propio, Apoyo gubernamental",No,NA,555,No,Sí a ambos,Licenciatura,Licenciatura,No,No,Sí,Sí,Sí
2023C02311,Morales,Bautista,Jorge,jorgemorales@universidad-sysac.edu.mx,jorge_morales@yahoo.com,5535465003,2026-01-11,Licenciatura en Derecho,LIDE2020MX,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,1,"Más de $25,000",El propio estudiante,Sí,43,Sí,Trabajo propio,No,NA,1525,No,Sí a ambos,Preparatoria,Sin estudios,Sí,No,Sí,Sí,Sí
2025B09866,González,Pérez,Verónica,veronica.gonzalez@universidad-sysac.edu.mx,veronica.gonzalez@outlook.com,8134926993,2026-05-31,Maestría en Psicopedagogía,LIPS2020MX,2,Sí,6,Sí,Laboral,Beca de colegiatura,6.8,NA,Con padres o tutores,2,"$5,001-$10,000",Madre,Sí,6,No,"Apoyo familiar, Trabajo propio, Ahorro",No,NA,2188,Sí,Solo internet,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
2023B07072,Molina,Acosta,Raúl,raul.molina@universidad-sysac.edu.mx,raulmolina98@hotmail.com,8124454964,2026-01-19,Licenciatura en Mercadotecnia,LIME2020MX,5,Sí,6,Sí,Laboral,Beca de colegiatura,6.4,NA,Con padres o tutores,2,"$15,001-$25,000",Padre,Sí,18,Sí,"Ahorro, Trabajo propio",No,NA,2117,No,Solo computadora,Primaria,Licenciatura,No,No,Sí,Sí,Sí
2023C07390,Castillo,González,Gustavo,gustavo.castillo@universidad-sysac.edu.mx,NA,5614989317,2026-05-06,Licenciatura en Contaduría Pública,LICO2020MX,4,No,NA,Sí,Personal/Familiar,Beca de colegiatura,8.1,NA,Con padres o tutores,4,"Menos de $5,000",Madre,Sí,20,No,Trabajo propio,No,NA,1365,Sí,Sí a ambos,Primaria,Secundaria,Sí,Sí,Sí,Sí,Sí
2024C03682,Estrada,Aguilar,Javier Alberto,javier_estrada@universidad-sysac.edu.mx,NA,2218950568,2026-02-06,Ingeniería en Sistemas Computacionales,LISC2020MX,4,Sí,2,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,3,"$10,001-$15,000",El propio estudiante,Sí,34,No,"Trabajo propio, Beca de otra institución",Sí,"Beca estatal $1,000",20,Sí,Solo computadora,Licenciatura,Preparatoria,No,No,Sí,Sí,No
2023B04404,Navarro,Moreno,Saúl,saul.navarro@universidad-sysac.edu.mx,NA,5547304551,2026-02-14,Licenciatura en Gastronomía,LIGA2020MX,5,Sí,6,Sí,Laboral,Beca de colegiatura,6.1,NA,Con padres o tutores,4,"Menos de $5,000",Madre,Sí,15,No,"Apoyo gubernamental, Beca de otra institución",Sí,"Beca empresa $1,200",1013,Sí,Ninguno,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
2019A01627,Martínez,Rosales,Saúl,saul_martinez@universidad-sysac.edu.mx,NA,4456727948,2026-02-21,Licenciatura en Derecho,LIDE2020MX,4,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$15,001-$25,000",Padre,Sí,19,Sí,Trabajo propio,No,NA,1476,No,Sí a ambos,Preparatoria,Preparatoria,Sí,No,Sí,Sí,Sí
2022C00236,Carmona,Jiménez,Rosa Valeria,rosacarmona@universidad-sysac.edu.mx,rosa_carmona@outlook.com,5537405467,2026-01-12,Ingeniería Industrial,LIIN2020MX,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",Otro familiar,Sí,9,No,Trabajo propio,No,NA,1571,No,Solo computadora,Primaria,Primaria,Sí,Sí,Sí,Sí,No
2022A05806,Camacho,Díaz,Citlali Rocío,citlali_camacho@universidad-sysac.edu.mx,NA,3340112321,2026-02-19,Ingeniería Industrial,LIIN2020MX,4,Sí,6,No,NA,Beca de colegiatura,6.6,NA,Con padres o tutores,3,"$10,001-$15,000",Otro familiar,No,NA,NA,Crédito educativo,No,NA,645,No,Sí a ambos,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
2023A09206,Romero,Gutiérrez,Gabriel,gabriel.romero@universidad-sysac.edu.mx,gabriel_romero916@yahoo.com,2270307935,2026-01-20,Licenciatura en Administración de Empresas,LIAD2020MX,5,Sí,1,No,NA,Beca de transporte,NA,81120,Con padres o tutores,3,"$5,001-$10,000",Beca o apoyo gubernamental,Sí,30,No,Trabajo propio,No,NA,2313,No,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
2023B09645,Molina,León,Dulce Diana,dulce.molina@universidad-sysac.edu.mx,dulce.molina@icloud.com,5511762125,2026-02-06,Licenciatura en Administración de Empresas,LIAD2020MX,5,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",Padre,No,NA,NA,"Ahorro, Crédito educativo",No,NA,1778,Sí,Sí a ambos,Preparatoria,Sin estudios,Sí,Sí,Sí,Sí,Sí
